date,value,my,year
08/16/1999,1.3,08/1999,1999
08/23/1999,1.301,08/1999,1999
08/30/1999,1.302,08/1999,1999
09/06/1999,1.311,09/1999,1999
09/13/1999,1.325,09/1999,1999
09/20/1999,1.345,09/1999,1999
09/27/1999,1.342,09/1999,1999
10/04/1999,1.335,10/1999,1999
10/11/1999,1.327,10/1999,1999
10/18/1999,1.314,10/1999,1999
10/25/1999,1.319,10/1999,1999
11/01/1999,1.312,11/1999,1999
11/08/1999,1.314,11/1999,1999
11/15/1999,1.334,11/1999,1999
11/22/1999,1.353,11/1999,1999
11/29/1999,1.357,11/1999,1999
12/06/1999,1.353,12/1999,1999
12/13/1999,1.356,12/1999,1999
12/20/1999,1.351,12/1999,1999
12/27/1999,1.358,12/1999,1999
01/03/2000,1.353,01/2000,2000
01/10/2000,1.345,01/2000,2000
01/17/2000,1.362,01/2000,2000
01/24/2000,1.397,01/2000,2000
01/31/2000,1.398,01/2000,2000
02/07/2000,1.406,02/2000,2000
02/14/2000,1.438,02/2000,2000
02/21/2000,1.487,02/2000,2000
02/28/2000,1.499,02/2000,2000
03/06/2000,1.579,03/2000,2000
03/13/2000,1.6,03/2000,2000
03/20/2000,1.597,03/2000,2000
03/27/2000,1.576,03/2000,2000
04/03/2000,1.572,04/2000,2000
04/10/2000,1.541,04/2000,2000
04/17/2000,1.508,04/2000,2000
04/24/2000,1.495,04/2000,2000
05/01/2000,1.477,05/2000,2000
05/08/2000,1.518,05/2000,2000
05/15/2000,1.556,05/2000,2000
05/22/2000,1.581,05/2000,2000
05/29/2000,1.594,05/2000,2000
06/05/2000,1.615,06/2000,2000
06/12/2000,1.68,06/2000,2000
06/19/2000,1.73,06/2000,2000
06/26/2000,1.712,06/2000,2000
07/03/2000,1.682,07/2000,2000
07/10/2000,1.654,07/2000,2000
07/17/2000,1.61,07/2000,2000
07/24/2000,1.591,07/2000,2000
07/31/2000,1.541,07/2000,2000
08/07/2000,1.532,08/2000,2000
08/14/2000,1.511,08/2000,2000
08/21/2000,1.534,08/2000,2000
08/28/2000,1.544,08/2000,2000
09/04/2000,1.586,09/2000,2000
09/11/2000,1.615,09/2000,2000
09/18/2000,1.619,09/2000,2000
09/25/2000,1.607,09/2000,2000
10/02/2000,1.58,10/2000,2000
10/09/2000,1.554,10/2000,2000
10/16/2000,1.6,10/2000,2000
10/23/2000,1.614,10/2000,2000
10/30/2000,1.608,10/2000,2000
11/06/2000,1.586,11/2000,2000
11/13/2000,1.587,11/2000,2000
11/20/2000,1.573,11/2000,2000
11/27/2000,1.575,11/2000,2000
12/04/2000,1.55,12/2000,2000
12/11/2000,1.514,12/2000,2000
12/18/2000,1.485,12/2000,2000
12/25/2000,1.467,12/2000,2000
01/01/2001,1.467,01/2001,2001
01/08/2001,1.492,01/2001,2001
01/15/2001,1.546,01/2001,2001
01/22/2001,1.543,01/2001,2001
01/29/2001,1.533,01/2001,2001
02/05/2001,1.517,02/2001,2001
02/12/2001,1.547,02/2001,2001
02/19/2001,1.517,02/2001,2001
02/26/2001,1.498,02/2001,2001
03/05/2001,1.482,03/2001,2001
03/12/2001,1.477,03/2001,2001
03/19/2001,1.464,03/2001,2001
03/26/2001,1.468,03/2001,2001
04/02/2001,1.502,04/2001,2001
04/09/2001,1.562,04/2001,2001
04/16/2001,1.625,04/2001,2001
04/23/2001,1.676,04/2001,2001
04/30/2001,1.671,04/2001,2001
05/07/2001,1.738,05/2001,2001
05/14/2001,1.735,05/2001,2001
05/21/2001,1.715,05/2001,2001
05/28/2001,1.73,05/2001,2001
06/04/2001,1.703,06/2001,2001
06/11/2001,1.66,06/2001,2001
06/18/2001,1.611,06/2001,2001
06/25/2001,1.546,06/2001,2001
07/02/2001,1.482,07/2001,2001
07/09/2001,1.448,07/2001,2001
07/16/2001,1.428,07/2001,2001
07/23/2001,1.408,07/2001,2001
07/30/2001,1.406,07/2001,2001
08/06/2001,1.406,08/2001,2001
08/13/2001,1.43,08/2001,2001
08/20/2001,1.476,08/2001,2001
08/27/2001,1.538,08/2001,2001
09/03/2001,1.599,09/2001,2001
09/10/2001,1.575,09/2001,2001
09/17/2001,1.58,09/2001,2001
09/24/2001,1.532,09/2001,2001
10/01/2001,1.455,10/2001,2001
10/08/2001,1.39,10/2001,2001
10/15/2001,1.349,10/2001,2001
10/22/2001,1.306,10/2001,2001
10/29/2001,1.278,10/2001,2001
11/05/2001,1.256,11/2001,2001
11/12/2001,1.233,11/2001,2001
11/19/2001,1.222,11/2001,2001
11/26/2001,1.18,11/2001,2001
12/03/2001,1.167,12/2001,2001
12/10/2001,1.161,12/2001,2001
12/17/2001,1.13,12/2001,2001
12/24/2001,1.151,12/2001,2001
