my,year,value_x,value_y,crisis,exch_usd
01/2014,2014,94.86657142857143,3.42225,0,14.718
01/2014,2014,94.86657142857143,3.42225,0,8.82
01/2014,2014,94.86657142857143,3.42225,0,1304
01/2014,2014,94.86657142857143,3.42225,1,0.82
01/2014,2014,94.86657142857143,3.42225,0,1.277675748
01/2014,2014,94.86657142857143,3.42225,0,26.38
01/2014,2014,94.86657142857143,3.42225,1,155.25
01/2014,2014,94.86657142857143,3.42225,0,7.43
01/2014,2014,94.86657142857143,3.42225,0,1
01/2014,2014,94.86657142857143,3.42225,0,4616
01/2014,2014,94.86657142857143,3.42225,0,2.986005054
01/2014,2014,94.86657142857143,3.42225,0,44.62682445
01/2014,2014,94.86657142857143,3.42225,0,3.5072
01/2014,2014,94.86657142857143,3.42225,1,0.82
01/2014,2014,94.86657142857143,3.42225,1,56.2584
01/2014,2014,94.86657142857143,3.42225,0,1.3213
01/2014,2014,94.86657142857143,3.42225,1,0.82
01/2014,2014,94.86657142857143,3.42225,0,131
01/2014,2014,94.86657142857143,3.42225,0,0.82
01/2014,2014,94.86657142857143,3.42225,0,31.62
01/2014,2014,94.86657142857143,3.42225,0,32.9640702
01/2014,2014,94.86657142857143,3.42225,0,1.862411798
01/2014,2014,94.86657142857143,3.42225,0,2.188542418
01/2014,2014,94.86657142857143,3.42225,1,0.607729627
01/2014,2014,94.86657142857143,3.42225,0,1.5573
01/2014,2014,94.86657142857143,3.42225,0,24.33304796
01/2014,2014,94.86657142857143,3.42225,0,6.2921
01/2014,2014,94.86657142857143,3.42225,0,6.3856
01/2020,2020,57.53171428571428,2.80075,1,361.9
02/2011,2011,90.0141052631579,3.2754999999999996,0,76.0563
02/2011,2011,90.0141052631579,3.2754999999999996,0,95.272
02/2011,2011,90.0141052631579,3.2754999999999996,0,4.302
02/2011,2011,90.0141052631579,3.2754999999999996,0,0.984639622
02/2011,2011,90.0141052631579,3.2754999999999996,1,0.77
02/2011,2011,90.0141052631579,3.2754999999999996,1,0.77
02/2011,2011,90.0141052631579,3.2754999999999996,0,6.91
02/2011,2011,90.0141052631579,3.2754999999999996,0,1.8588
02/2011,2011,90.0141052631579,3.2754999999999996,0,1.0193
02/2011,2011,90.0141052631579,3.2754999999999996,0,506.9611253
02/2011,2011,90.0141052631579,3.2754999999999996,0,519.25
02/2011,2011,90.0141052631579,3.2754999999999996,0,6.2939
02/2011,2011,90.0141052631579,3.2754999999999996,0,1936
02/2011,2011,90.0141052631579,3.2754999999999996,0,503.9885
02/2011,2011,90.0141052631579,3.2754999999999996,0,0
02/2011,2011,90.0141052631579,3.2754999999999996,1,5.7456
02/2011,2011,90.0141052631579,3.2754999999999996,0,38.7915
02/2011,2011,90.0141052631579,3.2754999999999996,0,25000
02/2011,2011,90.0141052631579,3.2754999999999996,0,6.0169
02/2011,2011,90.0141052631579,3.2754999999999996,0,8.7475
